,a002_age,a002m,a002y,ba068,bmi,c105,c107,c306,c330,c333,c334,c337,c340,g007,g026,g027,g028,g029,g030,hhinc,iadl,mgrip,mniw_d,oopm2,passets,pinc,pnetassets,region1,s_sum,year2
c334,0.05221122865803898,-0.02295937240670405,-0.05221122865803854,0.05516510828617824,0.03521545938225065,-0.016408226757091214,-0.06753367742821764,0.00833407499427369,0.03500975865662517,0.03718497851849402,1.0,0.08076171818498841,-0.00603564997619826,-0.03498105763971748,-0.0894479686164597,-0.04860860655901364,-0.01197717120909926,-0.005796938479945953,-0.03630343187345228,-0.03278455556052901,0.019507374002448334,-0.09950294707471483,-0.005804467580010586,0.06462022968325294,-0.019140625259512593,-0.04689425522968124,-0.02416673937031067,0.01292632697328356,-0.016380723773052674,-0.026755760285261963
c337,0.1267772881608113,0.001695999722635417,-0.1267772881608112,0.13620180704260937,0.030604109451906385,-0.020273598011652825,-0.06786532809302061,-0.04376615869728665,0.04179157085625713,0.023341440756740276,0.08076171818498841,1.0,0.0005417335507516529,-0.046387878102214786,-0.17630190747016744,-0.10664604878854436,-0.0357194826125313,-0.0934281534387526,-0.11322998669266694,-0.06902439235390956,0.08270487481671522,-0.1257735139825387,0.02905864022908937,0.06479217202649241,-0.03759327753674543,-0.06929252864257733,-0.036566025832485985,0.0440870807403865,-0.04970181272565384,-0.07862616875270587
c340,0.0013354755906500794,-0.009494405910975645,-0.0013354755906492771,-0.0028342263444756815,0.006252860975481816,0.0050167448066139745,-0.0005382737711331196,0.035465650741041924,-0.0067725078723598975,-0.0012721556295814498,-0.00603564997619826,0.0005417335507516529,1.0,0.0006327125026720762,-0.031544832207354705,-0.0026471150292497166,0.011102326166649816,-0.003935855417747952,0.006199370138671054,0.005334185073805749,0.047595838904559706,-0.017969762507303758,0.010659051897470347,-0.005824698359079773,-0.0007293078045370724,-0.01802123060608547,-3.616957953425949e-05,-0.028865429853976617,-0.0009111055236428335,-0.029667318693811895
g007,-0.0658318723292156,0.01776702082879913,0.06583187232921356,-0.06403355810263485,-0.0008986753672071926,0.06069401744026587,0.08704603418779014,0.05036038678369611,0.029262009293365657,-0.016277428117681136,-0.03498105763971748,-0.046387878102214786,0.0006327125026720762,1.0,0.3144458505791655,0.2528769605201603,0.21212018778420802,0.19259260133116582,0.2552202038028069,0.138114607628403,-0.11291699563507862,0.15795852333617255,0.0050416334205357575,-0.0011030177718219425,0.09040116902190475,0.139582915248762,0.07968770906036209,0.036067961592191194,0.05517342663796062,0.08287659058242712
g026,-0.21361429033571722,0.011314692970475933,0.2136142903357163,-0.18814176993179776,-0.019473050723331442,0.11814285162010106,0.19730698908007038,0.07372558097374851,-0.032781007822735055,-0.06988290452078134,-0.0894479686164597,-0.17630190747016744,-0.031544832207354705,0.3144458505791655,1.0,0.5588523403968872,0.32707179623938115,0.3716434343017355,0.5451609086331706,0.21041591199121726,-0.23733556939350553,0.27603685718576476,0.005753203700370875,-0.04300864627979184,0.134759017614319,0.21622256100557913,0.12741579350733864,-0.009619539646077934,0.11699147397820851,0.18977975186720683
g027,-0.14217431693873386,0.0011388568792009785,0.14217431693873467,-0.0870810305458121,0.011355598566576385,0.089870009737757,0.12390838670307294,0.1405670091226916,-0.008966165981513391,-0.03345912780281281,-0.04860860655901364,-0.10664604878854436,-0.0026471150292497166,0.2528769605201603,0.5588523403968872,1.0,0.3509517279913334,0.3789631052062701,0.6223335093670154,0.26625118891808597,-0.14818892962816355,0.1812918963107272,-0.01971090950570804,-0.005914193059649701,0.19152568914620857,0.23749943342055213,0.1960481889532176,0.02123931689233284,0.08744780599584347,0.1780501353697168
g028,-0.06848684591728134,-0.0015228009007180261,0.06848684591728119,-0.05043180367143296,-0.0036484301423325787,0.08693738915544899,0.1298209864206136,0.03240407841948742,0.032668690796640254,-0.0075694329914371425,-0.01197717120909926,-0.0357194826125313,0.011102326166649816,0.21212018778420802,0.32707179623938115,0.3509517279913334,1.0,0.5068505455768076,0.43868890383340525,0.16202577334567644,-0.04078789552670138,0.1639039810564234,-0.0009093872474757557,0.0135799023679437,0.08380589550280602,0.1225504652021651,0.08092073177347485,0.037786617200240805,0.05321589982231807,0.04322962238220271
g029,-0.1737551801350941,0.001829441746600765,0.17375518013509575,-0.11290725956273363,-0.005262237830080313,0.04461311529734839,0.06905539470665427,0.04313743644293899,-0.0034601912482821492,-0.017088811257564392,-0.005796938479945953,-0.0934281534387526,-0.003935855417747952,0.19259260133116582,0.3716434343017355,0.3789631052062701,0.5068505455768076,1.0,0.5329362465321684,0.14662896989352833,-0.09050867587672891,0.10688426333293088,-0.01614343056781241,-0.0019204140792273977,0.04697208116491161,0.09831894320169854,0.04459124411823664,0.03175762435702684,0.11408468917117326,0.17584669356514687
g030,-0.12909088861427553,0.006514948333313906,0.12909088861427642,-0.06910723121069058,-0.004235994102319812,0.08008831904275646,0.12003142952361373,0.07631103672857732,0.00820115046303039,-0.0198423292825004,-0.03630343187345228,-0.11322998669266694,0.006199370138671054,0.2552202038028069,0.5451609086331706,0.6223335093670154,0.43868890383340525,0.5329362465321684,1.0,0.20873564856873145,-0.1979552990568341,0.16863107366024993,-0.013845574672533062,0.0042057072743056445,0.12467518766540116,0.16926731271984086,0.12331477113611192,0.04057836024405432,0.10653465678127959,0.19445348707475887
hhinc,-0.25744698581062414,0.009745657737183808,0.257446985810623,-0.20047813273827647,0.0015196907227945362,0.07838952299550435,0.11463451791119728,0.13175307253579796,-0.014377288791982638,-0.06889004242004777,-0.03278455556052901,-0.06902439235390956,0.005334185073805749,0.138114607628403,0.21041591199121726,0.26625118891808597,0.16202577334567644,0.14662896989352833,0.20873564856873145,1.0,-0.052961694639105696,0.15290921357318618,-0.014293076247172876,0.004918423355932779,0.16810175277463185,0.30766031266266064,0.15864667462291202,-0.05274372549128465,0.08333750299644832,0.12230794068502734
iadl,0.17057729222416954,-0.005595563413079329,-0.17057729222417004,0.1014276570782045,0.006109352636333092,0.00623003850867589,0.0018408588135470129,-0.029884170812547288,-0.015504087788032861,0.012991013258511928,0.019507374002448334,0.08270487481671522,0.047595838904559706,-0.11291699563507862,-0.23733556939350553,-0.14818892962816355,-0.04078789552670138,-0.09050867587672891,-0.1979552990568341,-0.052961694639105696,1.0,-0.04334560248635861,0.01588171398139139,-0.003366081666975935,-0.015880242643174718,-0.06459286855961235,-0.01603568980242054,-0.008140758072834703,-0.10932011172027808,-0.10082077166256485
mgrip,-0.32410387902757193,2.9335799166878547e-05,0.3241038790275712,-0.32805169354866515,0.07914993786719851,0.5080629573101697,0.683336870840751,0.07473956880203113,-0.008882951766068311,-0.07069505909159898,-0.09950294707471483,-0.1257735139825387,-0.017969762507303758,0.15795852333617255,0.27603685718576476,0.1812918963107272,0.1639039810564234,0.10688426333293088,0.16863107366024993,0.15290921357318618,-0.04334560248635861,1.0,0.00627737370962027,-0.02411532701018942,0.19708835056744864,0.3791938247093599,0.18186972859621708,0.011012362732398171,0.0843089017567246,0.28754585157375
mniw_d,-0.0075098904304662095,-0.0036719021373455844,0.007509890430464893,0.0011010654217566672,0.011886041449324218,0.007446885523460364,0.0007845701879311214,0.006875748832130432,-0.03267054577304073,-0.036645183661543596,-0.005804467580010586,0.02905864022908937,0.010659051897470347,0.0050416334205357575,0.005753203700370875,-0.01971090950570804,-0.0009093872474757557,-0.01614343056781241,-0.013845574672533062,-0.014293076247172876,0.01588171398139139,0.00627737370962027,1.0,-0.0003219341341403152,-0.012078549385154685,0.005454978643630517,-0.009925031945962054,0.12551201028707992,-0.008160624358846487,0.00830764657333761
oopm2,0.0401128239879389,0.024598399906332093,-0.0401128239879392,0.03594142023913195,0.029307761200440832,0.013814786325361815,-0.015031695106278562,0.04252052400415231,0.1749083898717659,0.004390536511266793,0.06462022968325294,0.06479217202649241,-0.005824698359079773,-0.0011030177718219425,-0.04300864627979184,-0.005914193059649701,0.0135799023679437,-0.0019204140792273977,0.0042057072743056445,0.004918423355932779,-0.003366081666975935,-0.02411532701018942,-0.0003219341341403152,1.0,0.01690790799195435,-0.0003380035983870526,0.015248217310439677,-0.0019935357927015436,-0.016162991019926007,-0.013104234077857746
passets,-0.033160838913884244,-0.022032553154346202,0.0331608389138842,-0.08040689681808956,-0.0003363275503430936,0.12094442615874988,0.18903078071705776,0.12055996277941311,0.002055907130374477,-0.02266590856671864,-0.019140625259512593,-0.03759327753674543,-0.0007293078045370724,0.09040116902190475,0.134759017614319,0.19152568914620857,0.08380589550280602,0.04697208116491161,0.12467518766540116,0.16810175277463185,-0.015880242643174718,0.19708835056744864,-0.012078549385154685,0.01690790799195435,1.0,0.32210187780747285,0.9690843786187248,-0.07570811405896795,0.020609712727737598,0.058607114491029295
pinc,-0.24584390669306538,0.0032839968362776088,0.24584390669306497,-0.22342691176278498,0.02121561381720491,0.225783613578862,0.3201472820453824,0.1241880835971965,-0.004394820906162303,-0.050538693826074,-0.04689425522968124,-0.06929252864257733,-0.01802123060608547,0.139582915248762,0.21622256100557913,0.23749943342055213,0.1225504652021651,0.09831894320169854,0.16926731271984086,0.30766031266266064,-0.06459286855961235,0.3791938247093599,0.005454978643630517,-0.0003380035983870526,0.32210187780747285,1.0,0.3090774367851558,-0.001893470392818018,0.06669712047255721,0.145867819547922
pnetassets,-0.020816741874284242,-0.02067686512102593,0.020816741874284537,-0.06581751319212169,0.0021019240352571416,0.1147939803223166,0.17667592239228727,0.10102825704317187,-0.003759336836591632,-0.01915768670845583,-0.02416673937031067,-0.036566025832485985,-3.616957953425949e-05,0.07968770906036209,0.12741579350733864,0.1960481889532176,0.08092073177347485,0.04459124411823664,0.12331477113611192,0.15864667462291202,-0.01603568980242054,0.18186972859621708,-0.009925031945962054,0.015248217310439677,0.9690843786187248,0.3090774367851558,1.0,-0.06795729897701984,0.017094563372613412,0.051035238131652574
region1,0.03364778111960904,0.0034069673878791124,-0.03364778111960873,0.14738275009090396,-0.03767192747496529,-0.023805889138112362,0.009470332558362701,-0.09922352365170284,0.019958170842084254,0.08283735875396545,0.01292632697328356,0.0440870807403865,-0.028865429853976617,0.036067961592191194,-0.009619539646077934,0.02123931689233284,0.037786617200240805,0.03175762435702684,0.04057836024405432,-0.05274372549128465,-0.008140758072834703,0.011012362732398171,0.12551201028707992,-0.0019935357927015436,-0.07570811405896795,-0.001893470392818018,-0.06795729897701984,1.0,0.01641801897678956,0.009511690457199837
s_sum,-0.32615253425785395,0.009281540695971448,0.3261525342578543,-0.25280898492299503,0.051829766619531495,0.061220821706410695,0.03444732432716787,0.03272241536707323,0.009312101093623652,-0.041923785700543545,-0.016380723773052674,-0.04970181272565384,-0.0009111055236428335,0.05517342663796062,0.11699147397820851,0.08744780599584347,0.05321589982231807,0.11408468917117326,0.10653465678127959,0.08333750299644832,-0.10932011172027808,0.0843089017567246,-0.008160624358846487,-0.016162991019926007,0.020609712727737598,0.06669712047255721,0.017094563372613412,0.01641801897678956,1.0,0.13782225558720468
year2,-0.3169547053782751,-0.010032758897168596,0.31695470537827697,-0.23773152313009754,-0.0051648744270842185,0.16446734255191336,0.25676956796612715,0.08216378262504573,0.005687980546465966,-0.0429587478202383,-0.026755760285261963,-0.07862616875270587,-0.029667318693811895,0.08287659058242712,0.18977975186720683,0.1780501353697168,0.04322962238220271,0.17584669356514687,0.19445348707475887,0.12230794068502734,-0.10082077166256485,0.28754585157375,0.00830764657333761,-0.013104234077857746,0.058607114491029295,0.145867819547922,0.051035238131652574,0.009511690457199837,0.13782225558720468,1.0
