threshold,precision,recall,specificity,f1,f2,balanced_accuracy,mcc,tp,fp,tn,fn
0.23758208751678467,0.028466175485599463,0.8095238095238095,0.43593233521291075,0.05499838240051763,0.12477980035231943,0.6227280723683601,0.06940417854938084,85,2901,2242,20
0.23762895166873932,0.02847571189279732,0.8095238095238095,0.43612677425627067,0.05501618122977346,0.12481644640234948,0.6228252918900401,0.06945544010088314,85,2900,2243,20
0.23766379058361053,0.02848525469168901,0.8095238095238095,0.4363212132996306,0.05503399158303658,0.12485311398354877,0.6229225114117201,0.06950670665349305,85,2899,2244,20
0.23779454827308655,0.02849480388870265,0.8095238095238095,0.43651565234299045,0.05505181347150259,0.12488980311489861,0.6230197309334,0.06955797822793483,85,2898,2245,20
0.23780584335327148,0.028504359490274984,0.8095238095238095,0.43671009138635036,0.0550696469063816,0.1249265138154027,0.62311695045508,0.06960925484493308,85,2897,2246,20
0.23782022297382355,0.028513921502851394,0.8095238095238095,0.4369045304297103,0.05508749189889825,0.12496324610408703,0.6232141699767599,0.06966053652521265,85,2896,2247,20
0.23782438039779663,0.028523489932885907,0.8095238095238095,0.4370989694730702,0.055105348460291734,0.125,0.6233113894984399,0.06971182328949883,85,2895,2248,20
0.23784279823303223,0.02853306478684122,0.8095238095238095,0.4372934085164301,0.05512321660181582,0.12503677552221243,0.6234086090201199,0.06976311515851731,85,2894,2249,20
0.2378472238779068,0.028542646071188716,0.8095238095238095,0.43748784755979003,0.05514109633473889,0.12507357268981753,0.6235058285417998,0.06981441215299423,85,2893,2250,20
0.23793627321720123,0.028552233792408465,0.8095238095238095,0.4376822866031499,0.05515898767034393,0.12511039152193112,0.6236030480634798,0.06986571429365626,85,2892,2251,20
0.23797936737537384,0.028561827956989246,0.8095238095238095,0.4378767256465098,0.055176890619928594,0.1251472320376914,0.6237002675851597,0.06991702160123059,85,2891,2252,20
0.23802171647548676,0.02857142857142857,0.8095238095238095,0.43807116468986973,0.05519480519480519,0.1251840942562592,0.6237974871068397,0.06996833409644507,85,2890,2253,20
0.23807260394096375,0.028581035642232685,0.8095238095238095,0.43826560373322965,0.055212731406300744,0.1252209781968179,0.6238947066285196,0.07001965180002813,85,2889,2254,20
0.23816397786140442,0.028590649175916583,0.8095238095238095,0.43846004277658956,0.05523066926575698,0.12525788387857353,0.6239919261501996,0.07007097473270893,85,2888,2255,20
0.23821359872817993,0.02860026917900404,0.8095238095238095,0.4386544818199494,0.055248618784530384,0.1252948113207547,0.6240891456718795,0.07012230291521734,85,2887,2256,20
0.23821884393692017,0.0286098956580276,0.8095238095238095,0.43884892086330934,0.055266579973992196,0.1253317605426128,0.6241863651935594,0.07017363636828404,85,2886,2257,20
0.23824076354503632,0.02861952861952862,0.8095238095238095,0.43904335990666926,0.055284552845528454,0.12536873156342182,0.6242835847152394,0.07022497511264049,85,2885,2258,20
0.23829203844070435,0.02862916807005726,0.8095238095238095,0.4392377989500292,0.05530253741054001,0.1254057244024786,0.6243808042369193,0.07027631916901904,85,2884,2259,20
0.23837798833847046,0.028638814016172506,0.8095238095238095,0.4394322379933891,0.05532053368044256,0.12544273907910272,0.6244780237585993,0.07032766855815295,85,2883,2260,20
0.23838305473327637,0.028648466464442197,0.8095238095238095,0.43962667703674896,0.055338541666666664,0.12547977561263654,0.6245752432802792,0.07037902330077644,85,2882,2261,20
0.23843199014663696,0.028658125421443022,0.8095238095238095,0.4398211160801089,0.05535656138065777,0.12551683402244537,0.6246724628019592,0.07043038341762474,85,2881,2262,20
0.23847144842147827,0.02866779089376054,0.8095238095238095,0.4400155551234688,0.05537459283387622,0.1255539143279173,0.6247696823236392,0.07048174892943411,85,2880,2263,20
0.2384970784187317,0.028677462887989204,0.8095238095238095,0.4402099941668287,0.05539263603779733,0.12559101654846336,0.6248669018453191,0.07053311985694188,85,2879,2264,20
0.23854565620422363,0.028687141410732364,0.8095238095238095,0.44040443321018863,0.05541069100391134,0.12562814070351758,0.6249641213669991,0.07058449622088656,85,2878,2265,20
0.23857852816581726,0.028696826468602294,0.8095238095238095,0.4405988722535485,0.05542875774372351,0.12566528681253697,0.625061340888679,0.07063587804200781,85,2877,2266,20
0.23864449560642242,0.028706518068220197,0.8095238095238095,0.4407933112969084,0.055446836268754074,0.12570245489500148,0.625158560410359,0.07068726534104654,85,2876,2267,20
0.23865070939064026,0.028716216216216218,0.8095238095238095,0.4409877503402683,0.05546492659053834,0.1257396449704142,0.625255779932039,0.0707386581387449,85,2875,2268,20
0.23868398368358612,0.02872592091922947,0.8095238095238095,0.44118218938362824,0.05548302872062663,0.12577685705830127,0.6253529994537189,0.07079005645584635,85,2874,2269,20
0.23888912796974182,0.028735632183908046,0.8095238095238095,0.44137662842698816,0.0555011426705844,0.12581409117821196,0.6254502189753989,0.07084146031309572,85,2873,2270,20
0.2389300912618637,0.02874535001690903,0.8095238095238095,0.441571067470348,0.05551926845199216,0.12585134734971867,0.6255474384970787,0.07089286973123929,85,2872,2271,20
0.2389499396085739,0.02875507442489851,0.8095238095238095,0.44176550651370794,0.055537406076445604,0.12588862559241706,0.6256446580187587,0.07094428473102467,85,2871,2272,20
0.23897163569927216,0.028764805414551606,0.8095238095238095,0.44195994555706786,0.05555555555555555,0.1259259259259259,0.6257418775404386,0.07099570533320108,85,2870,2273,20
0.23899424076080322,0.02877454299255247,0.8095238095238095,0.4421543846004278,0.05557371690094802,0.12596324836988737,0.6258390970621186,0.07104713155851922,85,2869,2274,20
0.23916268348693848,0.02878428716559431,0.8095238095238095,0.4423488236437877,0.05559189012426422,0.1260005929439668,0.6259363165837986,0.07109856342773135,85,2868,2275,20
0.23927488923072815,0.028794037940379404,0.8095238095238095,0.44254326268714755,0.05561007523716061,0.12603795966785292,0.6260335361054785,0.0711500009615914,85,2867,2276,20
0.23939774930477142,0.02880379532361911,0.8095238095238095,0.44273770173050747,0.055628272251308904,0.1260753485612578,0.6261307556271585,0.07120144418085492,85,2866,2277,20
0.23953129351139069,0.0288135593220339,0.8095238095238095,0.4429321407738674,0.05564648117839607,0.1261127596439169,0.6262279751488384,0.07125289310627923,85,2865,2278,20
0.23959626257419586,0.02882332994235334,0.8095238095238095,0.4431265798172273,0.05566470203012443,0.12615019293558918,0.6263251946705184,0.07130434775862335,85,2864,2279,20
0.23964613676071167,0.028833107191316147,0.8095238095238095,0.4433210188605872,0.05568293481821159,0.126187648456057,0.6264224141921984,0.07135580815864814,85,2863,2280,20
0.23964937031269073,0.028842891075670174,0.8095238095238095,0.4435154579039471,0.055701179554390565,0.12622512622512622,0.6265196337138783,0.07140727432711629,85,2862,2281,20
0.2398146688938141,0.02885268160217244,0.8095238095238095,0.443709896947307,0.055719436250409704,0.12626262626262627,0.6266168532355583,0.07145874628479237,85,2861,2282,20
0.23985055088996887,0.028862478777589132,0.8095238095238095,0.4439043359906669,0.05573770491803279,0.1263001485884101,0.6267140727572382,0.07151022405244291,85,2860,2283,20
0.23985475301742554,0.028532608695652172,0.8,0.4439043359906669,0.05510003279763857,0.1248513674197384,0.6219521679953335,0.06881962352589781,84,2860,2283,21
0.23986460268497467,0.02854230377166157,0.8,0.44409877503402684,0.05511811023622047,0.12488849241748438,0.6220493875170134,0.06887124212766706,84,2859,2284,21
0.23988591134548187,0.028552005438477225,0.8,0.44429321407738676,0.05513619954053167,0.12492563950029745,0.6221466070386934,0.06892286617932934,84,2858,2285,21
0.2399662882089615,0.02856171370282217,0.8,0.4444876531207467,0.0551543007222587,0.1249628086878905,0.6222438265603734,0.0689744957018344,84,2857,2286,21
0.24003654718399048,0.02857142857142857,0.8,0.44468209216410653,0.05517241379310345,0.125,0.6223410460820533,0.06902613071613349,84,2856,2287,21
0.24005679786205292,0.028581150051037767,0.8,0.44487653120746645,0.05519053876478318,0.12503721345638583,0.6224382656037333,0.06907777124317947,84,2855,2288,21
0.24008896946907043,0.02859087814840027,0.8,0.44507097025082637,0.055208675649030564,0.12507444907683143,0.6225354851254132,0.06912941730392681,84,2854,2289,21
0.24010610580444336,0.028600612870275793,0.8,0.4452654092941863,0.055226824457593686,0.12511170688114387,0.6226327046470932,0.06918106891933166,84,2853,2290,21
0.24017484486103058,0.02861035422343324,0.8,0.4454598483375462,0.055244985202236106,0.12514898688915377,0.6227299241687732,0.06923272611035189,84,2852,2291,21
0.24026821553707123,0.028620102214650767,0.8,0.44565428738090607,0.05526315789473684,0.12518628912071536,0.6228271436904531,0.06928438889794712,84,2851,2292,21
0.24033625423908234,0.028629856850715747,0.8,0.445848726424266,0.055281342546890426,0.1252236135957066,0.6229243632121331,0.06933605730307879,84,2850,2293,21
0.24034646153450012,0.028639618138424822,0.8,0.4460431654676259,0.055299539170506916,0.12526096033402923,0.623021582733813,0.06938773134671018,84,2849,2294,21
0.2403668463230133,0.0286493860845839,0.8,0.4462376045109858,0.05531774777741192,0.12529832935560858,0.623118802255493,0.06943941104980647,84,2848,2295,21
0.2404642254114151,0.028659160696008188,0.8,0.44643204355434574,0.05533596837944664,0.12533572068039392,0.623216021777173,0.06949109643333477,84,2847,2296,21
0.24057964980602264,0.028668941979522185,0.8,0.4466264825977056,0.055354200988467876,0.1253731343283582,0.6233132412988528,0.06954278751826422,84,2846,2297,21
0.24058710038661957,0.02867872994195971,0.8,0.4468209216410655,0.055372445616348055,0.12541057031949837,0.6234104608205328,0.06959448432556592,84,2845,2298,21
0.24061185121536255,0.028688524590163935,0.8,0.44701536068442543,0.05539070227497527,0.12544802867383512,0.6235076803422127,0.0696461868762131,84,2844,2299,21
0.24064253270626068,0.02869832593098736,0.8,0.44720979972778535,0.055408970976253295,0.1254855094114132,0.6236048998638927,0.0696978951911811,84,2843,2300,21
0.2407469004392624,0.028708133971291867,0.8,0.44740423877114527,0.05542725173210162,0.12552301255230125,0.6237021193855726,0.0697496092914474,84,2842,2301,21
0.24078841507434845,0.028717948717948718,0.8,0.44759867781450513,0.055445544554455446,0.12556053811659193,0.6237993389072526,0.0698013291979917,84,2841,2302,21
0.24081440269947052,0.028727770177838577,0.8,0.44779311685786505,0.055463849455265765,0.1255980861244019,0.6238965584289325,0.06985305493179597,84,2840,2303,21
0.24085085093975067,0.028737598357851522,0.8,0.44798755590122497,0.05548216644649934,0.12563565659587198,0.6239937779506125,0.06990478651384448,84,2839,2304,21
