,tipo,no_nulos,nulos,porcentaje_nulos,valores_unicos
gender1,int64,6560,0,0.0,2
present_labor,int64,6560,0,0.0,2
region2,int64,6560,0,0.0,2
incident_liver_disease_10y,int64,6560,0,0.0,2
alc,int64,6560,0,0.0,3
c201,int64,6560,0,0.0,3
c202,int64,6560,0,0.0,3
c203,int64,6560,0,0.0,3
c204,int64,6560,0,0.0,3
c205,int64,6560,0,0.0,3
c206,int64,6560,0,0.0,3
c207,int64,6560,0,0.0,3
c208,int64,6560,0,0.0,3
c209,int64,6560,0,0.0,3
c210,int64,6560,0,0.0,3
c211,int64,6560,0,0.0,3
c212,int64,6560,0,0.0,3
c213,int64,6560,0,0.0,3
c214,int64,6560,0,0.0,3
c215,int64,6560,0,0.0,3
c216,int64,6560,0,0.0,3
c217,int64,6560,0,0.0,3
chronic_g,int64,6560,0,0.0,3
present_ecotype,int64,6560,0,0.0,3
region3,int64,6560,0,0.0,3
smoke,int64,6560,0,0.0,3
bp1,int64,6560,0,0.0,4
c005,int64,6560,0,0.0,4
c301,int64,6560,0,0.0,4
c310,int64,6560,0,0.0,4
c001,int64,6560,0,0.0,5
c106,int64,6560,0,0.0,5
c152,int64,6560,0,0.0,5
fam1,int64,6560,0,0.0,5
marital,int64,6560,0,0.0,5
mniw_m,int64,6560,0,0.0,5
a030,int64,6560,0,0.0,6
panel_n,int64,6560,0,0.0,6
chronic_sum,int64,6560,0,0.0,7
ecoact_s,int64,6560,0,0.0,7
edu_s,int64,6560,0,0.0,7
f001type,int64,6560,0,0.0,7
adl,int64,6560,0,0.0,8
a032,int64,6560,0,0.0,10
ba003,int64,6560,0,0.0,10
c318,int64,6560,0,0.0,10
hhsize,int64,6560,0,0.0,10
g026,int64,6560,0,0.0,11
g027,int64,6560,0,0.0,11
g030,int64,6560,0,0.0,11
iadl,int64,6560,0,0.0,11
a002m,int64,6560,0,0.0,12
s_sum,int64,6560,0,0.0,14
region1,int64,6560,0,0.0,15
c340,int64,6560,0,0.0,18
ba068,int64,6560,0,0.0,24
c333,int64,6560,0,0.0,29
mniw_d,int64,6560,0,0.0,31
c330,int64,6560,0,0.0,36
c334,int64,6560,0,0.0,43
c107,int64,6560,0,0.0,47
a002_age,int64,6560,0,0.0,48
a002y,int64,6560,0,0.0,48
c337,int64,6560,0,0.0,62
year2,int64,6560,0,0.0,62
c105,int64,6560,0,0.0,70
hhinc,int64,6560,0,0.0,263
wgt_c,float64,6560,0,0.0,930
pid,int64,6560,0,0.0,6560
