,tipo,nulos_totales,porcentaje_nulos,valores_unicos_observados
c203,int64,0,0.0,3
c207,int64,0,0.0,3
c208,int64,0,0.0,3
c202,int64,0,0.0,3
c201,int64,0,0.0,3
c204,int64,0,0.0,3
c205,int64,0,0.0,3
c206,int64,0,0.0,3
c214,int64,0,0.0,3
c152,int64,0,0.0,5
chronic_i,int64,0,0.0,2
c217,int64,0,0.0,3
c215,int64,0,0.0,3
c216,int64,0,0.0,3
c313,int64,0,0.0,2
c318,int64,0,0.0,10
chronic_h,int64,0,0.0,2
chronic_g,int64,0,0.0,3
ea_resp,int64,0,0.0,2
c210,int64,0,0.0,3
c209,int64,0,0.0,3
c211,int64,0,0.0,3
c212,int64,0,0.0,3
c213,int64,0,0.0,3
c082,int64,0,0.0,2
c003,int64,0,0.0,2
c001,int64,0,0.0,5
bp1,int64,0,0.0,4
hhsize,int64,0,0.0,10
iadl,int64,0,0.0,11
c056,int64,0,0.0,2
c106,int64,0,0.0,5
c108,int64,0,0.0,2
gender1,int64,0,0.0,2
g030,int64,0,0.0,11
g026,int64,0,0.0,11
g027,int64,0,0.0,11
c085,int64,0,0.0,2
mniw_d,int64,0,0.0,31
marital,int64,0,0.0,5
c005,int64,0,0.0,4
bb_adl3,int64,0,0.0,2
bb_adl2,int64,0,0.0,2
bb_adl1,int64,0,0.0,2
ba_resp,int64,0,0.0,2
ba003,int64,0,0.0,10
mniw_m,int64,0,0.0,5
mniw_y,int64,0,0.0,1
panel_n,int64,0,0.0,6
region3,int64,0,0.0,3
region2,int64,0,0.0,2
region1,int64,0,0.0,15
present_labor,int64,0,0.0,2
present_ecotype,int64,0,0.0,3
wgt_c,float64,0,0.0,930
pid,int64,0,0.0,6560
incident_liver_disease_10y,int64,0,0.0,2
