variable,codigo_sospechoso,frecuencia,porcentaje
d_com066,-9,7,0.10670731707317074
d_com073,-9,7,0.10670731707317074
d_com074,-9,7,0.10670731707317074
d_com075,-9,7,0.10670731707317074
d_com076,-9,7,0.10670731707317074
d_com077,-9,7,0.10670731707317074
d_com078,-9,7,0.10670731707317074
d_com079,-9,7,0.10670731707317074
d_com080,-9,7,0.10670731707317074
d_com081,-9,8,0.12195121951219512
d_com082,-9,7,0.10670731707317074
d_com084,-9,7,0.10670731707317074
d_com085,-9,7,0.10670731707317074
d_com089,-9,7,0.10670731707317074
d_com090,-9,7,0.10670731707317074
d_com092,-9,7,0.10670731707317074
d_com093,-9,8,0.12195121951219512
d_com095,-9,7,0.10670731707317074
d_com095,-8,1,0.01524390243902439
d_com096,-9,20,0.3048780487804878
d_com096,97,1,0.01524390243902439
d_com101,-9,3,0.04573170731707318
d_com102,-9,3,0.04573170731707318
d_com102,-8,1,0.01524390243902439
d_com125,-9,1,0.01524390243902439
d_com139m,-9,540,8.231707317073171
d_com139y,-9,10,0.1524390243902439
d_com142,-9,2,0.03048780487804878
d_com142,-8,5,0.07621951219512195
earned,-9,41,0.625
earned,-8,53,0.8079268292682927
ecoact_s,-9,39,0.5945121951219512
ecoact_s,-8,336,5.121951219512195
ecoact_s,97,2,0.03048780487804878
edu_s,-9,39,0.5945121951219512
edu_s,-8,317,4.8323170731707314
exploit,-8,1,0.01524390243902439
f001type,-9,2,0.03048780487804878
f001type,-8,1,0.01524390243902439
f013_n,-9,9,0.1371951219512195
f013_n,-8,14,0.2134146341463415
financial,-9,88,1.3414634146341464
financial,-8,68,1.0365853658536586
financialasset,-9,469,7.149390243902438
financialasset,99,1,0.01524390243902439
fromchildren,-9,22,0.3353658536585366
fromothers,-9,3,0.04573170731707318
fromparent,-9,2,0.03048780487804878
full_parttime,-8,7,0.10670731707317074
hhinc,-9,142,2.1646341463414633
hhinc,-8,289,4.405487804878049
house_sum,-9,7,0.10670731707317074
house_sum,-8,14,0.2134146341463415
ind,-9,75,1.1432926829268293
ind,-8,3,0.04573170731707318
insurance,-9,11,0.1676829268292683
insurance,99,1,0.01524390243902439
job,-9,78,1.1890243902439024
job,-8,11,0.1676829268292683
job_startm,-9,1318,20.09146341463415
job_startm,-8,6,0.09146341463414635
job_starty,-9,76,1.1585365853658536
n_days,-9,1,0.01524390243902439
national,-8,3,0.04573170731707318
national,99,1,0.01524390243902439
oopm1,-9,29,0.44207317073170727
oopm1,98,1,0.01524390243902439
oopm1,99,1,0.01524390243902439
oopm2,-9,87,1.326219512195122
oopm2,97,4,0.06097560975609756
oopm2,98,4,0.06097560975609756
oopm2,9997,1,0.01524390243902439
other,-8,1,0.01524390243902439
otherasset,-9,44,0.6707317073170732
otherasset,-8,12,0.1829268292682927
passets,-9,825,12.576219512195122
passets,99,1,0.01524390243902439
pensionins,-9,4,0.06097560975609756
pinc,-9,228,3.4756097560975614
pinc,-8,47,0.7164634146341464
pinc,98,1,0.01524390243902439
pinc,99,4,0.06097560975609756
pliabilities,-9,20,0.3048780487804878
pliabilities,-8,45,0.6859756097560976
pnetassets,-9,803,12.240853658536585
pnetassets,-8,45,0.6859756097560976
pnetassets,99,1,0.01524390243902439
pnetassets,9999,1,0.01524390243902439
publictrans,-9,7,0.10670731707317074
publictrans,99,1,0.01524390243902439
realestate,-9,375,5.716463414634147
realestate,-8,15,0.22865853658536583
regularins,-9,7,0.10670731707317074
