variable,missing_count,missing_percentage,unique_values,dtype
c049y,5508,83.96,40,float64
c049m,5508,83.96,13,float64
selfemployed,5474,83.45,81,float64
d_com140,5462,83.26,12,float64
d_com144,5462,83.26,2,float64
d_com142,5462,83.26,13,float64
d_com149,5462,83.26,2,float64
d_com139m,5462,83.26,13,float64
d_com157,5462,83.26,2,float64
d_com139y,5462,83.26,41,float64
c129,5396,82.26,21,float64
bm4,5312,80.98,4,float64
bm5,5312,80.98,10,float64
bm6,5312,80.98,10,float64
bm3,5312,80.98,3,float64
d_com037,5281,80.5,62,float64
d_com082,5266,80.27,5,float64
d_com014,5266,80.27,3,float64
d_com024,5266,80.27,3,float64
d_com066,5266,80.27,3,float64
d_com052,5266,80.27,95,float64
d_com057,5266,80.27,6,float64
d_com054,5266,80.27,4,float64
d_com053,5266,80.27,5,float64
d_com081,5266,80.27,5,float64
d_com055,5266,80.27,3,float64
d_com056,5266,80.27,3,float64
d_com049,5266,80.27,9,float64
full_parttime,5266,80.27,3,float64
wage,5190,79.12,165,float64
a035_04,5120,78.05,10,float64
publictrans,5058,77.1,198,float64
d_com001,5022,76.55,8,float64
a035_01,4997,76.17,10,float64
pliabilities,4968,75.73,176,float64
size_n,4957,75.56,108,float64
livenear,4954,75.52,7,float64
otherasset,4924,75.06,76,float64
transferto,4850,73.93,202,float64
c007m,4843,73.83,14,float64
c007y,4843,73.83,40,float64
contact1,4821,73.49,6,float64
c127,4396,67.01,28,float64
bp1_1,4353,66.36,2,float64
c304,4168,63.54,2,float64
c311,4141,63.12,12,float64
c312,4141,63.12,57,float64
c126,3987,60.78,9,float64
c132,3987,60.78,5,float64
c130,3987,60.78,7,float64
d_com085,3987,60.78,5,float64
addic,3987,60.78,3,float64
c128,3987,60.78,7,float64
c134,3987,60.78,7,float64
d_com084,3987,60.78,5,float64
c112,3965,60.44,29,float64
c111,3965,60.44,14,float64
livewithnm,3933,59.95,4,float64
chronic_j,3806,58.02,3,float64
d_com097,3735,56.94,2,float64
job_starty,3728,56.83,65,float64
job_startm,3728,56.83,14,float64
ind,3728,56.83,22,float64
job,3728,56.83,12,float64
d_com078,3728,56.83,5,float64
d_com079,3728,56.83,5,float64
d_com080,3728,56.83,5,float64
d_com075,3728,56.83,5,float64
d_com074,3728,56.83,5,float64
d_com073,3728,56.83,5,float64
d_com092,3728,56.83,7,float64
d_com089,3728,56.83,5,float64
d_com090,3728,56.83,6,float64
d_com077,3728,56.83,5,float64
d_com076,3728,56.83,5,float64
d_com031,3728,56.83,9,float64
d_com032,3728,56.83,89,float64
status,3728,56.83,6,float64
fromchildren,3721,56.72,208,float64
emp,3697,56.36,4,float64
earned,3688,56.22,266,float64
c124m,3646,55.58,14,float64
c124y,3646,55.58,68,float64
d_com096,3585,54.65,42,float64
transferfrom,3569,54.41,222,float64
financialasset,3237,49.34,622,float64
residence,3131,47.73,150,float64
retired,3109,47.39,3,float64
labor_st,3109,47.39,3,float64
livewith,2952,45.0,5,float64
realestate,2921,44.53,225,float64
job_search,2832,43.17,2,float64
contact2,2828,43.11,8,float64
ba075,2816,42.93,2,float64
c303,2760,42.07,3,float64
c068,2754,41.98,3,float64
a035_02,2703,41.2,10,float64
c109,2595,39.56,5,float64
c102,2457,37.45,2,float64
g007,2408,36.71,11,float64
passets,1418,21.62,1168,float64
oopm2,1402,21.37,351,float64
residence_,1346,20.52,2,float64
pnetassets,1287,19.62,1300,float64
pinc,1277,19.47,1292,float64
g028,1134,17.29,11,float64
c305,367,5.59,5,float64
c306,367,5.59,55,float64
c302,367,5.59,3,float64
mgrip,365,5.56,308,float64
g029,148,2.26,11,float64
bmi,125,1.91,1004,float64
c147,42,0.64,4,float64
c149,42,0.64,4,float64
c148,42,0.64,4,float64
c144,42,0.64,4,float64
c146,42,0.64,4,float64
c151,42,0.64,4,float64
c143,42,0.64,4,float64
c142,42,0.64,4,float64
c145,42,0.64,4,float64
c150,42,0.64,4,float64
c081,20,0.3,2,float64
edu,3,0.05,4,float64
a002_age,0,0.0,48,int64
a030,0,0.0,6,int64
a032,0,0.0,10,int64
a002y,0,0.0,48,int64
a003,0,0.0,2,int64
a002m,0,0.0,12,int64
smoke,0,0.0,3,int64
alc,0,0.0,3,int64
adl,0,0.0,8,int64
c310,0,0.0,4,int64
c215,0,0.0,3,int64
c301,0,0.0,4,int64
c313,0,0.0,2,int64
ea_resp,0,0.0,2,int64
c330,0,0.0,36,int64
c318,0,0.0,10,int64
chronic_d,0,0.0,2,int64
chronic_h,0,0.0,2,int64
chronic_g,0,0.0,3,int64
chronic_f,0,0.0,2,int64
chronic_sum,0,0.0,7,int64
c550,0,0.0,2,int64
chronic_a,0,0.0,2,int64
c333,0,0.0,29,int64
c334,0,0.0,43,int64
c337,0,0.0,62,int64
c340,0,0.0,18,int64
c343,0,0.0,2,int64
c346,0,0.0,2,int64
edu_s,0,0.0,7,int64
enu_type,0,0.0,2,int64
f001type,0,0.0,7,int64
ecoact_s,0,0.0,7,int64
fam1,0,0.0,5,int64
c204,0,0.0,3,int64
c205,0,0.0,3,int64
c206,0,0.0,3,int64
c207,0,0.0,3,int64
c208,0,0.0,3,int64
c209,0,0.0,3,int64
c210,0,0.0,3,int64
c211,0,0.0,3,int64
c212,0,0.0,3,int64
c213,0,0.0,3,int64
c214,0,0.0,3,int64
c202,0,0.0,3,int64
c201,0,0.0,3,int64
c152,0,0.0,5,int64
c203,0,0.0,3,int64
chronic_c,0,0.0,2,int64
chronic_b,0,0.0,2,int64
c216,0,0.0,3,int64
chronic_i,0,0.0,2,int64
c217,0,0.0,3,int64
c106,0,0.0,5,int64
c107,0,0.0,47,int64
c085,0,0.0,2,int64
gender1,0,0.0,2,int64
c082,0,0.0,2,int64
c105,0,0.0,70,int64
g026,0,0.0,11,int64
c003,0,0.0,2,int64
c001,0,0.0,5,int64
bp1,0,0.0,4,int64
iadl,0,0.0,11,int64
c108,0,0.0,2,int64
c056,0,0.0,2,int64
hhinc,0,0.0,263,int64
hhsize,0,0.0,10,int64
g030,0,0.0,11,int64
g027,0,0.0,11,int64
panel_n,0,0.0,6,int64
mniw_y,0,0.0,1,int64
mniw_d,0,0.0,31,int64
mniw_m,0,0.0,5,int64
marital,0,0.0,5,int64
c005,0,0.0,4,int64
bb_adl3,0,0.0,2,int64
bb_adl2,0,0.0,2,int64
bb_adl1,0,0.0,2,int64
ba_resp,0,0.0,2,int64
ba068,0,0.0,24,int64
ba003,0,0.0,10,int64
present_labor,0,0.0,2,int64
present_ecotype,0,0.0,3,int64
region3,0,0.0,3,int64
region2,0,0.0,2,int64
region1,0,0.0,15,int64
s_sum,0,0.0,14,int64
wgt_c,0,0.0,930,float64
pid,0,0.0,6560,int64
year2,0,0.0,62,int64
incident_liver_disease_10y,0,0.0,2,int8
