,nulos,porcentaje_nulos,valores_unicos
c146,42,0.6402439024390244,4
c144,42,0.6402439024390244,4
c143,42,0.6402439024390244,4
c145,42,0.6402439024390244,4
c148,42,0.6402439024390244,4
c105,42,0.6402439024390244,68
c150,42,0.6402439024390244,4
year2,39,0.5945121951219512,61
c081,20,0.3048780487804878,2
s_sum,16,0.24390243902439024,12
c301,8,0.12195121951219512,2
ba068,8,0.12195121951219512,22
c337,6,0.09146341463414635,61
c310,5,0.07621951219512195,2
edu,3,0.04573170731707318,4
f001type,3,0.04573170731707318,5
c330,2,0.03048780487804878,35
c340,1,0.01524390243902439,17
pid,0,0.0,6560
a002m,0,0.0,12
c343,0,0.0,2
c334,0,0.0,43
chronic_sum,0,0.0,7
c333,0,0.0,29
wgt_c,0,0.0,930
a002_age,0,0.0,48
a002y,0,0.0,48
a003,0,0.0,2
a032,0,0.0,10
a030,0,0.0,6
adl,0,0.0,8
smoke,0,0.0,3
chronic_b,0,0.0,2
chronic_a,0,0.0,2
c550,0,0.0,2
c346,0,0.0,2
c201,0,0.0,3
c214,0,0.0,3
c213,0,0.0,3
enu_type,0,0.0,2
c205,0,0.0,3
c206,0,0.0,3
c207,0,0.0,3
c208,0,0.0,3
c209,0,0.0,3
c202,0,0.0,3
c203,0,0.0,3
c204,0,0.0,3
c152,0,0.0,5
ea_resp,0,0.0,2
chronic_c,0,0.0,2
c215,0,0.0,3
c217,0,0.0,3
chronic_h,0,0.0,2
chronic_i,0,0.0,2
chronic_d,0,0.0,2
chronic_g,0,0.0,3
chronic_f,0,0.0,2
c313,0,0.0,2
c318,0,0.0,10
c216,0,0.0,3
c210,0,0.0,3
c211,0,0.0,3
c212,0,0.0,3
fam1,0,0.0,5
marital,0,0.0,5
c108,0,0.0,2
iadl,0,0.0,11
c056,0,0.0,2
hhsize,0,0.0,10
c082,0,0.0,2
c085,0,0.0,2
gender1,0,0.0,2
g026,0,0.0,11
g027,0,0.0,11
g030,0,0.0,11
c106,0,0.0,5
mniw_d,0,0.0,31
mniw_m,0,0.0,5
bp1,0,0.0,4
ba003,0,0.0,10
alc,0,0.0,3
panel_n,0,0.0,6
c001,0,0.0,5
c003,0,0.0,2
c005,0,0.0,4
bb_adl1,0,0.0,2
ba_resp,0,0.0,2
present_labor,0,0.0,2
present_ecotype,0,0.0,3
bb_adl3,0,0.0,2
bb_adl2,0,0.0,2
region3,0,0.0,3
region2,0,0.0,2
region1,0,0.0,15
incident_liver_disease_10y,0,0.0,2
